book,w2vsvm book pred proba,w2vsvm chap pred avg,w2vsvm chap pred proba avg,mnb book pred,mnb chap pred avg,svm book pred proba,svm chap pred proba avg,authenticity
37,0.01495747163979845,0.09090909090909093,0.2922229701522337,0,0.2727272727272727,0.004611191481078832,0.30558736237026535,0
38,0.3084202760151665,0.42857142857142855,0.4309103771370429,0,0.2857142857142857,0.028104798676694482,0.328444229745197,0
39,0.19413858604477288,0.4090909090909091,0.4615156577011416,0,0.2727272727272727,0.0019489143029498314,0.3202265646896141,0
40,0.07393071989720769,0.125,0.3343342520898813,0,0.4583333333333333,0.0019466822354801852,0.2921910550867791,0
41,0.1239386085154288,0.10714285714285714,0.18745499576642685,0,0.03571428571428571,0.003917397623909389,0.061718558288878796,0
42,0.02535124327352576,0.48,0.4399342087762299,0,0.24,0.004339116488309219,0.3534418164300994,0
43,0.2335753293944579,0.125,0.3954136073942845,0,0.5416666666666666,0.033263812931397976,0.3083269009877722,0
44,0.2119050031027288,0.125,0.25970430932462,0,0.125,0.0031400392183335425,0.12263042773250876,0
45,0.0940213782209861,0.21739130434782608,0.3219709841601737,0,0.2608695652173913,0.0036784982316086716,0.09031573480296634,0
46,0.1146410943269153,0.08695652173913042,0.19554612287722745,0,0.17391304347826086,0.0002649485904817293,0.11511083446493568,0
47,0.17089167871149422,0.07692307692307693,0.2095181803488337,0,0.23076923076923078,0.003482757683573062,0.1959611700549095,0
48,0.5096040605169504,0.4,0.4582473123266853,0,0.6,0.13727027222348442,0.37433290226779037,0
49,0.23323837110792794,0.16666666666666666,0.30548595066669043,0,0.13333333333333333,0.027017877824945802,0.08510918051300974,0
50,0.7047742011259781,0.5,0.5196647809979094,0,0.46153846153846156,0.09877974050684771,0.1499222471894486,0
51,0.18591959733103655,0.038461538461538464,0.20376690899309174,0,0.038461538461538464,0.0009423582873260061,0.09669403201332458,0
52,0.4413177328293287,0.3103448275862069,0.3747476238834759,0,0.41379310344827586,0.18138885593254322,0.28905483211405,0
53,0.2393829733339673,0.4782608695652174,0.45320769816860795,0,0.391304347826087,0.8880772303048746,0.507847626422638,1
54,0.4625052957077946,0.2272727272727273,0.3437668290682377,1,0.8181818181818182,0.8873778279604236,0.6276572290774166,1
